time_hour,predicted_water_temp,air_temp
2026-06-15 10:00:00,19.546663,19.2
2026-06-15 11:00:00,19.71753,20.6
2026-06-15 12:00:00,19.93526,22.1
2026-06-15 13:00:00,20.269728,23.0
2026-06-15 14:00:00,20.661743,23.5
2026-06-15 15:00:00,21.019054,23.9
2026-06-15 16:00:00,21.316711,23.8
2026-06-15 17:00:00,21.516523,23.3
2026-06-15 18:00:00,21.631525,20.5
2026-06-15 19:00:00,21.658836,18.8
2026-06-15 20:00:00,21.606064,16.9
2026-06-15 21:00:00,21.53392,16.1
2026-06-15 22:00:00,21.452963,15.6
2026-06-15 23:00:00,21.370016,15.5
2026-06-16 00:00:00,21.26176,15.3
2026-06-16 01:00:00,21.145329,15.2
2026-06-16 02:00:00,21.019033,14.9
2026-06-16 03:00:00,20.89758,14.9
2026-06-16 04:00:00,20.762846,14.6
2026-06-16 05:00:00,20.621777,14.4
2026-06-16 06:00:00,20.486412,14.7
2026-06-16 07:00:00,20.359262,15.3
2026-06-16 08:00:00,20.25551,16.1
2026-06-16 09:00:00,20.19477,16.8
2026-06-16 10:00:00,20.204882,17.6
2026-06-16 11:00:00,20.28253,17.8
2026-06-16 12:00:00,20.3589,19.0
2026-06-16 13:00:00,20.55627,19.6
2026-06-16 14:00:00,20.776705,20.7
2026-06-16 15:00:00,20.992281,19.4
2026-06-16 16:00:00,21.053427,20.0
2026-06-16 17:00:00,21.110157,19.1
2026-06-16 18:00:00,21.137098,19.2
2026-06-16 19:00:00,21.153198,19.2
2026-06-16 20:00:00,21.145744,19.0
2026-06-16 21:00:00,21.132524,18.5
2026-06-16 22:00:00,21.105076,17.8
2026-06-16 23:00:00,21.056883,17.4
2026-06-17 00:00:00,21.00459,17.2
2026-06-17 01:00:00,20.943,17.1
2026-06-17 02:00:00,20.886997,17.2
2026-06-17 03:00:00,20.825094,17.1
2026-06-17 04:00:00,20.747501,16.6
2026-06-17 05:00:00,20.666845,16.4
2026-06-17 06:00:00,20.55524,16.2
2026-06-17 07:00:00,20.494532,16.3
2026-06-17 08:00:00,20.412687,16.5
2026-06-17 09:00:00,20.362524,17.3
2026-06-17 10:00:00,20.324036,18.3
2026-06-17 11:00:00,20.342613,19.3
2026-06-17 12:00:00,20.450937,19.9
2026-06-17 13:00:00,20.552383,20.3
2026-06-17 14:00:00,20.67494,20.3
2026-06-17 15:00:00,20.76604,20.0
2026-06-17 16:00:00,20.858358,19.8
2026-06-17 17:00:00,20.990978,19.8
2026-06-17 18:00:00,21.12742,19.8
2026-06-17 19:00:00,21.222904,19.6
2026-06-17 20:00:00,21.275686,19.1
2026-06-17 21:00:00,21.297827,18.4
2026-06-17 22:00:00,21.29468,17.8
2026-06-17 23:00:00,21.265673,17.4
2026-06-18 00:00:00,21.22699,17.1
2026-06-18 01:00:00,21.182772,16.8
2026-06-18 02:00:00,21.127144,16.6
2026-06-18 03:00:00,21.067993,16.4
2026-06-18 04:00:00,21.002874,16.3
2026-06-18 05:00:00,20.933409,16.4
2026-06-18 06:00:00,20.86151,16.6
2026-06-18 07:00:00,20.783356,17.0
2026-06-18 08:00:00,20.697796,17.3
2026-06-18 09:00:00,20.645325,17.8
2026-06-18 10:00:00,20.622635,18.5
2026-06-18 11:00:00,20.707895,19.7
2026-06-18 12:00:00,20.829676,21.2
2026-06-18 13:00:00,21.042103,22.3
2026-06-18 14:00:00,21.29048,22.8
2026-06-18 15:00:00,21.490028,23.0
2026-06-18 16:00:00,21.668045,23.1
2026-06-18 17:00:00,21.819532,23.1
2026-06-18 18:00:00,21.93224,23.1
2026-06-18 19:00:00,22.01044,22.7
2026-06-18 20:00:00,22.056679,21.8
2026-06-18 21:00:00,22.066673,20.6
2026-06-18 22:00:00,22.052465,19.6
2026-06-18 23:00:00,22.021292,18.7
2026-06-19 00:00:00,21.974356,17.9
2026-06-19 01:00:00,21.914286,17.3
2026-06-19 02:00:00,21.844324,16.7
2026-06-19 03:00:00,21.76371,16.1
2026-06-19 04:00:00,21.68189,15.9
2026-06-19 05:00:00,21.601313,16.0
2026-06-19 06:00:00,21.516253,16.3
2026-06-19 07:00:00,21.427769,16.9
2026-06-19 08:00:00,21.348715,17.8
2026-06-19 09:00:00,21.29288,18.9
2026-06-19 10:00:00,21.289932,19.8
2026-06-19 11:00:00,21.36093,20.3
2026-06-19 12:00:00,21.523151,20.7
2026-06-19 13:00:00,21.775831,21.0
2026-06-19 14:00:00,22.092888,21.6
2026-06-19 15:00:00,22.428356,22.1
2026-06-19 16:00:00,22.731602,22.1
2026-06-19 17:00:00,22.966833,21.4
2026-06-19 18:00:00,23.116575,20.1
2026-06-19 19:00:00,23.188477,18.9
2026-06-19 20:00:00,23.167274,17.9
2026-06-19 21:00:00,23.106785,16.8
2026-06-19 22:00:00,23.025076,16.1
2026-06-19 23:00:00,22.963234,15.8
2026-06-20 00:00:00,22.891838,15.8
2026-06-20 01:00:00,22.817966,15.9
2026-06-20 02:00:00,22.741657,15.8
2026-06-20 03:00:00,22.665825,15.7
2026-06-20 04:00:00,22.59596,15.8
2026-06-20 05:00:00,22.537914,16.0
2026-06-20 06:00:00,22.483313,16.3
2026-06-20 07:00:00,22.430445,16.7
2026-06-20 08:00:00,22.37119,16.9
2026-06-20 09:00:00,22.318758,17.2
2026-06-20 10:00:00,22.27177,17.8
2026-06-20 11:00:00,22.248161,19.1
2026-06-20 12:00:00,22.253464,20.6
2026-06-20 13:00:00,22.282497,21.9
2026-06-20 14:00:00,22.3325,22.8
2026-06-20 15:00:00,22.43296,23.4
2026-06-20 16:00:00,22.58885,23.8
2026-06-20 17:00:00,22.776281,23.9
2026-06-20 18:00:00,22.959833,23.8
2026-06-20 19:00:00,23.108797,23.4
2026-06-20 20:00:00,23.200468,22.5
2026-06-20 21:00:00,23.237019,21.3
2026-06-20 22:00:00,23.232555,20.4
2026-06-20 23:00:00,23.201544,21.0
2026-06-21 00:00:00,23.131048,20.3
2026-06-21 01:00:00,23.048729,19.8
2026-06-21 02:00:00,22.971909,19.4
2026-06-21 03:00:00,22.895943,19.0
2026-06-21 04:00:00,22.824928,18.7
2026-06-21 05:00:00,22.758516,18.5
2026-06-21 06:00:00,22.692951,18.4
2026-06-21 07:00:00,22.625927,18.4
2026-06-21 08:00:00,22.557325,18.6
2026-06-21 09:00:00,22.492771,19.1
2026-06-21 10:00:00,22.439205,19.7
2026-06-21 11:00:00,22.40551,20.2
2026-06-21 12:00:00,22.4127,20.7
2026-06-21 13:00:00,22.466673,21.0
2026-06-21 14:00:00,22.551992,21.0
2026-06-21 15:00:00,22.651619,21.0
2026-06-21 16:00:00,22.745588,20.8
