time_hour,predicted_water_temp,air_temp
2026-06-12 18:00:00,18.300539,16.6
2026-06-12 19:00:00,18.403141,16.1
2026-06-12 20:00:00,18.449299,15.5
2026-06-12 21:00:00,18.415258,15.0
2026-06-12 22:00:00,18.35114,14.3
2026-06-12 23:00:00,18.269005,14.1
2026-06-13 00:00:00,18.178082,14.2
2026-06-13 01:00:00,18.08703,14.0
2026-06-13 02:00:00,17.967356,13.6
2026-06-13 03:00:00,17.858166,13.2
2026-06-13 04:00:00,17.739105,12.7
2026-06-13 05:00:00,17.62624,12.1
2026-06-13 06:00:00,17.498318,12.6
2026-06-13 07:00:00,17.355574,13.3
2026-06-13 08:00:00,17.240067,13.8
2026-06-13 09:00:00,17.204803,15.0
2026-06-13 10:00:00,17.270107,16.2
2026-06-13 11:00:00,17.396997,17.2
2026-06-13 12:00:00,17.593185,18.0
2026-06-13 13:00:00,17.848276,18.5
2026-06-13 14:00:00,18.193817,18.9
2026-06-13 15:00:00,18.554806,18.9
2026-06-13 16:00:00,18.883423,18.6
2026-06-13 17:00:00,19.124657,18.2
2026-06-13 18:00:00,19.298786,17.9
2026-06-13 19:00:00,19.401104,17.3
2026-06-13 20:00:00,19.433683,16.4
2026-06-13 21:00:00,19.421656,15.4
2026-06-13 22:00:00,19.355232,14.0
2026-06-13 23:00:00,19.24456,12.1
2026-06-14 00:00:00,19.148823,11.9
2026-06-14 01:00:00,19.05546,11.5
2026-06-14 02:00:00,18.971035,11.6
2026-06-14 03:00:00,18.875963,10.9
2026-06-14 04:00:00,18.756557,9.3
2026-06-14 05:00:00,18.63967,8.9
2026-06-14 06:00:00,18.55371,10.8
2026-06-14 07:00:00,18.488325,13.1
2026-06-14 08:00:00,18.378191,14.7
2026-06-14 09:00:00,18.320816,15.7
2026-06-14 10:00:00,18.345587,16.5
2026-06-14 11:00:00,18.485163,17.5
2026-06-14 12:00:00,18.748772,17.9
2026-06-14 13:00:00,18.922977,18.9
2026-06-14 14:00:00,19.314442,19.8
2026-06-14 15:00:00,19.61725,20.5
2026-06-14 16:00:00,19.959639,21.0
2026-06-14 17:00:00,20.244247,20.9
2026-06-14 18:00:00,20.426588,20.5
2026-06-14 19:00:00,20.542248,19.7
2026-06-14 20:00:00,20.66146,21.2
2026-06-14 21:00:00,20.689095,19.7
2026-06-14 22:00:00,20.6541,18.3
2026-06-14 23:00:00,20.589214,17.0
2026-06-15 00:00:00,20.505486,15.9
2026-06-15 01:00:00,20.415096,15.0
2026-06-15 02:00:00,20.324638,14.5
2026-06-15 03:00:00,20.233305,14.3
2026-06-15 04:00:00,20.141293,14.2
2026-06-15 05:00:00,20.04477,14.3
2026-06-15 06:00:00,19.946888,14.4
2026-06-15 07:00:00,19.840134,14.6
2026-06-15 08:00:00,19.717892,14.6
2026-06-15 09:00:00,19.593233,14.6
2026-06-15 10:00:00,19.549551,15.4
2026-06-15 11:00:00,19.69974,17.8
2026-06-15 12:00:00,19.992054,20.9
2026-06-15 13:00:00,20.370544,23.2
2026-06-15 14:00:00,20.72644,24.2
2026-06-15 15:00:00,21.002556,24.5
2026-06-15 16:00:00,21.274353,24.4
