time_hour,predicted_water_temp,air_temp
2026-06-22 17:00:00,23.70074,31.6
2026-06-22 18:00:00,23.969345,28.3
2026-06-22 19:00:00,23.952854,25.2
2026-06-22 20:00:00,23.929594,24.2
2026-06-22 21:00:00,23.871885,23.1
2026-06-22 22:00:00,23.773607,21.0
2026-06-22 23:00:00,23.694155,20.3
2026-06-23 00:00:00,23.632185,20.1
2026-06-23 01:00:00,23.581314,19.8
2026-06-23 02:00:00,23.500776,19.1
2026-06-23 03:00:00,23.423279,19.0
2026-06-23 04:00:00,23.349634,18.9
2026-06-23 05:00:00,23.26263,18.4
2026-06-23 06:00:00,23.16615,18.9
2026-06-23 07:00:00,23.060596,20.2
2026-06-23 08:00:00,22.984327,21.7
2026-06-23 09:00:00,22.989206,23.7
2026-06-23 10:00:00,23.111263,25.7
2026-06-23 11:00:00,23.34152,27.8
2026-06-23 12:00:00,23.658634,29.7
2026-06-23 13:00:00,24.057554,31.2
2026-06-23 14:00:00,24.484348,32.5
2026-06-23 15:00:00,24.943583,33.1
2026-06-23 16:00:00,25.381384,33.4
2026-06-23 17:00:00,25.76564,31.8
2026-06-23 18:00:00,26.03162,31.1
2026-06-23 19:00:00,26.214825,30.3
2026-06-23 20:00:00,26.347122,29.4
2026-06-23 21:00:00,26.35471,25.4
2026-06-23 22:00:00,26.285595,22.3
2026-06-23 23:00:00,26.200756,21.1
2026-06-24 00:00:00,26.125114,20.9
2026-06-24 01:00:00,26.022726,20.2
2026-06-24 02:00:00,25.914736,19.3
2026-06-24 03:00:00,25.823338,18.9
2026-06-24 04:00:00,25.68299,17.8
2026-06-24 05:00:00,25.567009,17.4
2026-06-24 06:00:00,25.508488,20.9
2026-06-24 07:00:00,25.418522,22.6
2026-06-24 08:00:00,25.325348,23.8
2026-06-24 09:00:00,25.278936,25.3
2026-06-24 10:00:00,25.314087,27.0
2026-06-24 11:00:00,25.452923,28.9
2026-06-24 12:00:00,25.694162,31.0
2026-06-24 13:00:00,26.003605,33.1
2026-06-24 14:00:00,26.34781,34.1
2026-06-24 15:00:00,26.706982,34.7
2026-06-24 16:00:00,27.024939,34.8
2026-06-24 17:00:00,27.287151,34.0
2026-06-24 18:00:00,27.478806,33.4
2026-06-24 19:00:00,27.601164,32.9
2026-06-24 20:00:00,27.65455,32.3
2026-06-24 21:00:00,27.634249,30.3
2026-06-24 22:00:00,27.5697,28.4
2026-06-24 23:00:00,27.479616,26.7
2026-06-25 00:00:00,27.379005,25.2
2026-06-25 01:00:00,27.27326,23.9
2026-06-25 02:00:00,27.16325,22.9
2026-06-25 03:00:00,27.051472,22.1
2026-06-25 04:00:00,26.93926,21.7
2026-06-25 05:00:00,26.826426,21.7
2026-06-25 06:00:00,26.706572,22.1
2026-06-25 07:00:00,26.579958,22.8
2026-06-25 08:00:00,26.477484,24.0
2026-06-25 09:00:00,26.436031,25.6
2026-06-25 10:00:00,26.478802,27.4
2026-06-25 11:00:00,26.624887,29.5
2026-06-25 12:00:00,26.87257,31.9
2026-06-25 13:00:00,27.184984,34.1
2026-06-25 14:00:00,27.514887,36.3
2026-06-25 15:00:00,27.801594,38.4
2026-06-25 16:00:00,28.005304,39.3
2026-06-25 17:00:00,28.138096,38.4
2026-06-25 18:00:00,28.220259,36.3
2026-06-25 19:00:00,28.257444,34.0
2026-06-25 20:00:00,28.260208,31.4
2026-06-25 21:00:00,28.215544,28.5
2026-06-25 22:00:00,28.139313,26.3
2026-06-25 23:00:00,28.034908,25.1
2026-06-26 00:00:00,27.913918,24.6
2026-06-26 01:00:00,27.771313,23.9
2026-06-26 02:00:00,27.613298,22.7
2026-06-26 03:00:00,27.442621,21.3
2026-06-26 04:00:00,27.258247,20.2
2026-06-26 05:00:00,27.065489,19.4
2026-06-26 06:00:00,26.863104,18.8
2026-06-26 07:00:00,26.652304,18.6
2026-06-26 08:00:00,26.461939,19.0
2026-06-26 09:00:00,26.314686,19.9
2026-06-26 10:00:00,26.23107,20.8
2026-06-26 11:00:00,26.23336,22.0
2026-06-26 12:00:00,26.319801,23.3
2026-06-26 13:00:00,26.474995,24.2
2026-06-26 14:00:00,26.662348,24.6
2026-06-26 15:00:00,26.827978,24.6
2026-06-26 16:00:00,26.951735,24.4
2026-06-26 17:00:00,27.02981,24.1
2026-06-26 18:00:00,27.058952,23.6
2026-06-26 19:00:00,27.039623,23.0
2026-06-26 20:00:00,26.96658,22.1
2026-06-26 21:00:00,26.85191,21.1
2026-06-26 22:00:00,26.701916,20.1
2026-06-26 23:00:00,26.519365,19.3
2026-06-27 00:00:00,26.327871,18.5
2026-06-27 01:00:00,26.132647,17.9
2026-06-27 02:00:00,25.942396,17.5
2026-06-27 03:00:00,25.758368,17.3
2026-06-27 04:00:00,25.579542,17.2
2026-06-27 05:00:00,25.409595,17.3
2026-06-27 06:00:00,25.230005,17.4
2026-06-27 07:00:00,25.053545,17.7
2026-06-27 08:00:00,24.897326,18.2
2026-06-27 09:00:00,24.774572,18.9
2026-06-27 10:00:00,24.689182,19.5
2026-06-27 11:00:00,24.635412,20.0
2026-06-27 12:00:00,24.657787,20.5
2026-06-27 13:00:00,24.781937,21.0
2026-06-27 14:00:00,24.987339,21.6
2026-06-27 15:00:00,25.224157,22.2
2026-06-27 16:00:00,25.43953,22.6
2026-06-27 17:00:00,25.592594,22.4
2026-06-27 18:00:00,25.671465,22.0
2026-06-27 19:00:00,25.684946,21.4
2026-06-27 20:00:00,25.642479,20.7
2026-06-27 21:00:00,25.553661,19.8
2026-06-27 22:00:00,25.433008,18.9
2026-06-27 23:00:00,25.299791,18.2
2026-06-28 00:00:00,25.12406,17.3
2026-06-28 01:00:00,24.946545,16.7
2026-06-28 02:00:00,24.761742,16.4
2026-06-28 03:00:00,24.580732,16.2
2026-06-28 04:00:00,24.40328,16.1
2026-06-28 05:00:00,24.220078,16.1
2026-06-28 06:00:00,24.034294,16.2
2026-06-28 07:00:00,23.845219,16.3
2026-06-28 08:00:00,23.631918,16.6
2026-06-28 09:00:00,23.44128,17.1
2026-06-28 10:00:00,23.29756,17.6
2026-06-28 11:00:00,23.218111,18.1
2026-06-28 12:00:00,23.213934,18.6
2026-06-28 13:00:00,23.283794,18.9
2026-06-28 14:00:00,23.410881,19.0
2026-06-28 15:00:00,23.552444,19.0
2026-06-28 16:00:00,23.66467,19.0
2026-06-28 17:00:00,23.731173,18.9
2026-06-28 18:00:00,23.741228,18.7
2026-06-28 19:00:00,23.69665,18.4
2026-06-28 20:00:00,23.605434,17.9
2026-06-28 21:00:00,23.467073,17.3
2026-06-28 22:00:00,23.306948,16.6
2026-06-28 23:00:00,23.120205,16.1
2026-06-29 00:00:00,22.921692,15.6
2026-06-29 01:00:00,22.746473,15.4
2026-06-29 02:00:00,22.596142,15.2
2026-06-29 03:00:00,22.42268,15.0
2026-06-29 04:00:00,22.257006,14.9
2026-06-29 05:00:00,22.095793,14.9
2026-06-29 06:00:00,21.938946,15.1
2026-06-29 07:00:00,21.77913,15.3
2026-06-29 08:00:00,21.625647,15.8
2026-06-29 09:00:00,21.506252,16.6
2026-06-29 10:00:00,21.445171,17.6
2026-06-29 11:00:00,21.458889,18.5
2026-06-29 12:00:00,21.557014,19.2
2026-06-29 13:00:00,21.731258,19.6
2026-06-29 14:00:00,21.925625,19.6
2026-06-29 15:00:00,22.119646,19.4
2026-06-29 16:00:00,22.29604,19.4
