time_hour,predicted_water_temp,air_temp
2026-06-09 16:00:00,17.526468,15.5
2026-06-09 17:00:00,17.66101,15.1
2026-06-09 18:00:00,17.74279,15.0
2026-06-09 19:00:00,17.786661,14.3
2026-06-09 20:00:00,17.796955,13.6
2026-06-09 21:00:00,17.739288,13.0
2026-06-09 22:00:00,17.655613,12.8
2026-06-09 23:00:00,17.5462,12.9
2026-06-10 00:00:00,17.455917,12.9
2026-06-10 01:00:00,17.34259,11.7
2026-06-10 02:00:00,17.243162,12.1
2026-06-10 03:00:00,17.134436,11.3
2026-06-10 04:00:00,17.034588,11.7
2026-06-10 05:00:00,16.928446,10.5
2026-06-10 06:00:00,16.810368,10.3
2026-06-10 07:00:00,16.695444,11.2
2026-06-10 08:00:00,16.586359,12.6
2026-06-10 09:00:00,16.536148,13.4
2026-06-10 10:00:00,16.554241,12.8
2026-06-10 11:00:00,16.597921,13.6
2026-06-10 12:00:00,16.71131,13.2
2026-06-10 13:00:00,16.811203,14.4
2026-06-10 14:00:00,16.96856,15.3
2026-06-10 15:00:00,17.146118,14.1
2026-06-10 16:00:00,17.25254,14.7
2026-06-10 17:00:00,17.32931,13.6
2026-06-10 18:00:00,17.422665,12.3
2026-06-10 19:00:00,17.413008,13.7
2026-06-10 20:00:00,17.35996,13.7
2026-06-10 21:00:00,17.34112,13.4
2026-06-10 22:00:00,17.292032,12.8
2026-06-10 23:00:00,17.222666,12.0
2026-06-11 00:00:00,17.154743,12.3
2026-06-11 01:00:00,17.092981,12.7
2026-06-11 02:00:00,17.01119,12.4
2026-06-11 03:00:00,16.928087,12.9
2026-06-11 04:00:00,16.83962,12.7
2026-06-11 05:00:00,16.724815,11.2
2026-06-11 06:00:00,16.616776,11.5
2026-06-11 07:00:00,16.50032,11.5
2026-06-11 08:00:00,16.40472,11.8
2026-06-11 09:00:00,16.33746,12.0
2026-06-11 10:00:00,16.268457,12.7
2026-06-11 11:00:00,16.289272,13.1
2026-06-11 12:00:00,16.32663,14.0
2026-06-11 13:00:00,16.407537,15.0
2026-06-11 14:00:00,16.488806,15.4
2026-06-11 15:00:00,16.588066,15.6
2026-06-11 16:00:00,16.65266,15.6
2026-06-11 17:00:00,16.710577,15.9
2026-06-11 18:00:00,16.774956,16.0
2026-06-11 19:00:00,16.855806,16.1
2026-06-11 20:00:00,16.890976,15.8
2026-06-11 21:00:00,16.900368,15.4
2026-06-11 22:00:00,16.894989,15.1
2026-06-11 23:00:00,16.865894,14.9
2026-06-12 00:00:00,16.826677,14.9
2026-06-12 01:00:00,16.780252,14.9
2026-06-12 02:00:00,16.73131,14.8
2026-06-12 03:00:00,16.681503,14.8
2026-06-12 04:00:00,16.629612,14.8
2026-06-12 05:00:00,16.581894,15.0
2026-06-12 06:00:00,16.540049,15.2
2026-06-12 07:00:00,16.503542,15.6
2026-06-12 08:00:00,16.502495,16.4
2026-06-12 09:00:00,16.543732,17.4
2026-06-12 10:00:00,16.658127,18.2
2026-06-12 11:00:00,16.78183,18.6
2026-06-12 12:00:00,16.955608,18.9
2026-06-12 13:00:00,17.160463,19.1
2026-06-12 14:00:00,17.366322,19.3
