time_hour,predicted_water_temp,air_temp
2026-06-08 20:00:00,18.321085,13.5
2026-06-08 21:00:00,18.267214,12.7
2026-06-08 22:00:00,18.179962,12.7
2026-06-08 23:00:00,18.115736,12.5
2026-06-09 00:00:00,18.029602,12.7
2026-06-09 01:00:00,17.927185,12.4
2026-06-09 02:00:00,17.820368,12.3
2026-06-09 03:00:00,17.723309,10.7
2026-06-09 04:00:00,17.610603,10.4
2026-06-09 05:00:00,17.502869,10.5
2026-06-09 06:00:00,17.386784,10.4
2026-06-09 07:00:00,17.304024,11.8
2026-06-09 08:00:00,17.212189,12.6
2026-06-09 09:00:00,17.118338,13.2
2026-06-09 10:00:00,17.093822,13.8
2026-06-09 11:00:00,17.165642,15.0
2026-06-09 12:00:00,17.310667,15.0
2026-06-09 13:00:00,17.491573,15.2
2026-06-09 14:00:00,17.669697,15.5
2026-06-09 15:00:00,17.841654,15.5
2026-06-09 16:00:00,17.953661,14.7
2026-06-09 17:00:00,18.005812,15.0
2026-06-09 18:00:00,18.050407,14.8
2026-06-09 19:00:00,18.066526,14.0
2026-06-09 20:00:00,18.031424,13.3
2026-06-09 21:00:00,17.980398,12.7
2026-06-09 22:00:00,17.908905,12.3
2026-06-09 23:00:00,17.812834,12.2
2026-06-10 00:00:00,17.737783,12.5
2026-06-10 01:00:00,17.633099,11.3
2026-06-10 02:00:00,17.535032,11.1
2026-06-10 03:00:00,17.444244,10.6
2026-06-10 04:00:00,17.340372,9.7
2026-06-10 05:00:00,17.29213,9.8
2026-06-10 06:00:00,17.192026,10.0
2026-06-10 07:00:00,17.094004,10.6
2026-06-10 08:00:00,16.988907,11.0
2026-06-10 09:00:00,16.867517,12.4
2026-06-10 10:00:00,16.817583,13.6
2026-06-10 11:00:00,16.871078,12.6
2026-06-10 12:00:00,16.883963,12.2
2026-06-10 13:00:00,17.024586,13.8
2026-06-10 14:00:00,17.18015,14.8
2026-06-10 15:00:00,17.31621,14.8
2026-06-10 16:00:00,17.411139,13.1
2026-06-10 17:00:00,17.396755,13.1
2026-06-10 18:00:00,17.426779,14.2
2026-06-10 19:00:00,17.472466,14.5
2026-06-10 20:00:00,17.474665,14.0
2026-06-10 21:00:00,17.452337,12.8
2026-06-10 22:00:00,17.412632,11.6
2026-06-10 23:00:00,17.341194,10.7
2026-06-11 00:00:00,17.250235,10.0
2026-06-11 01:00:00,17.154385,9.6
2026-06-11 02:00:00,17.058868,9.6
2026-06-11 03:00:00,16.962872,10.0
2026-06-11 04:00:00,16.862324,10.3
2026-06-11 05:00:00,16.754198,10.5
2026-06-11 06:00:00,16.655777,10.7
2026-06-11 07:00:00,16.558666,11.0
2026-06-11 08:00:00,16.47297,11.3
2026-06-11 09:00:00,16.42569,11.6
2026-06-11 10:00:00,16.419521,12.3
2026-06-11 11:00:00,16.450487,13.4
2026-06-11 12:00:00,16.50754,14.8
2026-06-11 13:00:00,16.566225,15.9
2026-06-11 14:00:00,16.67244,16.5
2026-06-11 15:00:00,16.810907,16.7
2026-06-11 16:00:00,16.976513,16.8
2026-06-11 17:00:00,17.089819,16.7
2026-06-11 18:00:00,17.16273,16.4
2026-06-11 19:00:00,17.19878,16.1
2026-06-11 20:00:00,17.206291,15.7
2026-06-11 21:00:00,17.196276,15.3
2026-06-11 22:00:00,17.17727,14.9
2026-06-11 23:00:00,17.150667,14.8
2026-06-12 00:00:00,17.118717,14.7
2026-06-12 01:00:00,17.07944,14.6
2026-06-12 02:00:00,17.03286,14.3
2026-06-12 03:00:00,16.979053,13.9
2026-06-12 04:00:00,16.924398,13.8
2026-06-12 05:00:00,16.867725,13.9
2026-06-12 06:00:00,16.821697,14.3
2026-06-12 07:00:00,16.786245,14.9
2026-06-12 08:00:00,16.76658,15.8
2026-06-12 09:00:00,16.774933,16.8
2026-06-12 10:00:00,16.837847,17.8
2026-06-12 11:00:00,16.980087,18.8
2026-06-12 12:00:00,17.202911,19.7
2026-06-12 13:00:00,17.513271,20.4
2026-06-12 14:00:00,17.882332,20.9
2026-06-12 15:00:00,18.232319,21.3
2026-06-12 16:00:00,18.522625,21.4
2026-06-12 17:00:00,18.756226,21.2
2026-06-12 18:00:00,18.89423,20.8
2026-06-12 19:00:00,18.968744,20.1
2026-06-12 20:00:00,18.991432,19.2
2026-06-12 21:00:00,18.982546,18.1
2026-06-12 22:00:00,18.95415,17.0
2026-06-12 23:00:00,18.900986,16.0
2026-06-13 00:00:00,18.828817,15.1
2026-06-13 01:00:00,18.749771,14.4
2026-06-13 02:00:00,18.665546,14.0
2026-06-13 03:00:00,18.582552,13.7
2026-06-13 04:00:00,18.50417,13.6
2026-06-13 05:00:00,18.429134,13.6
2026-06-13 06:00:00,18.352112,13.7
2026-06-13 07:00:00,18.282093,14.3
2026-06-13 08:00:00,18.242811,15.7
2026-06-13 09:00:00,18.256289,17.6
2026-06-13 10:00:00,18.325945,19.3
2026-06-13 11:00:00,18.458414,20.5
2026-06-13 12:00:00,18.679197,21.4
2026-06-13 13:00:00,19.018488,22.1
2026-06-13 14:00:00,19.424189,22.8
2026-06-13 15:00:00,19.844316,23.4
2026-06-13 16:00:00,20.27718,23.8
2026-06-13 17:00:00,20.65467,24.2
2026-06-13 18:00:00,20.96329,24.4
2026-06-13 19:00:00,21.18171,23.8
2026-06-13 20:00:00,21.302065,21.9
2026-06-13 21:00:00,21.331629,19.2
2026-06-13 22:00:00,21.294228,16.9
2026-06-13 23:00:00,21.225845,16.4
2026-06-14 00:00:00,21.141151,14.6
2026-06-14 01:00:00,21.049465,13.5
2026-06-14 02:00:00,20.962486,13.2
2026-06-14 03:00:00,20.885454,13.3
2026-06-14 04:00:00,20.77058,13.9
2026-06-14 05:00:00,20.708986,14.7
2026-06-14 06:00:00,20.647291,15.6
2026-06-14 07:00:00,20.585417,16.7
2026-06-14 08:00:00,20.579922,17.9
2026-06-14 09:00:00,20.586737,19.6
2026-06-14 10:00:00,20.655329,21.4
2026-06-14 11:00:00,20.80665,23.1
2026-06-14 12:00:00,21.051394,24.7
2026-06-14 13:00:00,21.369333,25.8
2026-06-14 14:00:00,21.734587,26.6
2026-06-14 15:00:00,22.1197,27.2
2026-06-14 16:00:00,22.489233,27.6
2026-06-14 17:00:00,22.815777,27.7
2026-06-14 18:00:00,23.071806,27.5
2026-06-14 19:00:00,23.247404,26.9
2026-06-14 20:00:00,23.33586,25.7
2026-06-14 21:00:00,23.347149,23.8
2026-06-14 22:00:00,23.298487,21.5
2026-06-14 23:00:00,23.212914,19.4
2026-06-15 00:00:00,23.120476,17.9
2026-06-15 01:00:00,23.034187,17.1
2026-06-15 02:00:00,22.956451,16.8
2026-06-15 03:00:00,22.878567,16.4
2026-06-15 04:00:00,22.804914,16.2
2026-06-15 05:00:00,22.731247,16.2
2026-06-15 06:00:00,22.649282,16.5
2026-06-15 07:00:00,22.562618,17.0
2026-06-15 08:00:00,22.500486,18.2
2026-06-15 09:00:00,22.489338,19.9
2026-06-15 10:00:00,22.555567,21.9
2026-06-15 11:00:00,22.721415,23.9
2026-06-15 12:00:00,22.971989,25.4
2026-06-15 13:00:00,23.267977,26.1
2026-06-15 14:00:00,23.567448,26.0
2026-06-15 15:00:00,23.822964,25.1
2026-06-15 16:00:00,24.017307,23.9
2026-06-15 17:00:00,24.137299,22.4
2026-06-15 18:00:00,24.190065,21.0
2026-06-15 19:00:00,24.237833,21.0
