time_hour,predicted_water_temp,air_temp
2026-06-30 15:00:00,21.92162,19.9
2026-06-30 16:00:00,22.034967,19.2
2026-06-30 17:00:00,22.111292,19.0
2026-06-30 18:00:00,22.129051,18.2
2026-06-30 19:00:00,22.161715,18.1
2026-06-30 20:00:00,22.160267,18.0
2026-06-30 21:00:00,22.116173,17.8
2026-06-30 22:00:00,22.064354,17.5
2026-06-30 23:00:00,22.015718,17.4
2026-07-01 00:00:00,21.968206,17.2
2026-07-01 01:00:00,21.90718,16.7
2026-07-01 02:00:00,21.82876,15.7
2026-07-01 03:00:00,21.747274,16.7
2026-07-01 04:00:00,21.663658,16.7
2026-07-01 05:00:00,21.578518,16.4
2026-07-01 06:00:00,21.489695,16.5
2026-07-01 07:00:00,21.396877,17.2
2026-07-01 08:00:00,21.318178,17.5
2026-07-01 09:00:00,21.23925,18.3
2026-07-01 10:00:00,21.212917,19.1
2026-07-01 11:00:00,21.248629,20.1
2026-07-01 12:00:00,21.31433,20.7
2026-07-01 13:00:00,21.441334,21.4
2026-07-01 14:00:00,21.649858,21.4
2026-07-01 15:00:00,21.850182,21.6
2026-07-01 16:00:00,22.092478,20.7
2026-07-01 17:00:00,22.303959,20.3
2026-07-01 18:00:00,22.423836,19.4
2026-07-01 19:00:00,22.447865,18.6
2026-07-01 20:00:00,22.423243,17.4
2026-07-01 21:00:00,22.375313,16.6
2026-07-01 22:00:00,22.283758,16.3
2026-07-01 23:00:00,22.158684,16.5
2026-07-02 00:00:00,22.029629,16.7
2026-07-02 01:00:00,21.916138,16.6
2026-07-02 02:00:00,21.80206,16.6
2026-07-02 03:00:00,21.684147,17.0
2026-07-02 04:00:00,21.559263,17.3
2026-07-02 05:00:00,21.441717,17.4
2026-07-02 06:00:00,21.323278,17.2
2026-07-02 07:00:00,21.21304,17.3
2026-07-02 08:00:00,21.13989,17.7
2026-07-02 09:00:00,21.087317,18.6
2026-07-02 10:00:00,21.03659,19.4
2026-07-02 11:00:00,21.004766,20.5
2026-07-02 12:00:00,21.138714,21.1
2026-07-02 13:00:00,21.368172,21.7
2026-07-02 14:00:00,21.639668,22.3
2026-07-02 15:00:00,21.996145,23.0
2026-07-02 16:00:00,22.36034,23.3
2026-07-02 17:00:00,22.601511,23.0
2026-07-02 18:00:00,22.732327,22.3
2026-07-02 19:00:00,22.781754,21.3
2026-07-02 20:00:00,22.760103,19.7
2026-07-02 21:00:00,22.685923,17.8
2026-07-02 22:00:00,22.566189,15.9
2026-07-02 23:00:00,22.416033,13.8
2026-07-03 00:00:00,22.230381,11.6
2026-07-03 01:00:00,22.039612,10.0
2026-07-03 02:00:00,21.865746,9.1
2026-07-03 03:00:00,21.696325,8.6
2026-07-03 04:00:00,21.546822,8.9
2026-07-03 05:00:00,21.413319,10.0
2026-07-03 06:00:00,21.30112,11.8
2026-07-03 07:00:00,21.200747,13.7
2026-07-03 08:00:00,21.120567,15.5
2026-07-03 09:00:00,21.052671,17.3
2026-07-03 10:00:00,21.054111,18.9
2026-07-03 11:00:00,21.16774,20.2
2026-07-03 12:00:00,21.403027,21.3
2026-07-03 13:00:00,21.687815,22.1
2026-07-03 14:00:00,22.085205,22.8
2026-07-03 15:00:00,22.40762,23.3
2026-07-03 16:00:00,22.643148,23.4
2026-07-03 17:00:00,22.828617,23.3
2026-07-03 18:00:00,22.953701,22.9
2026-07-03 19:00:00,23.016655,22.1
2026-07-03 20:00:00,23.027079,20.8
2026-07-03 21:00:00,22.981258,19.1
2026-07-03 22:00:00,22.891209,17.6
2026-07-03 23:00:00,22.787203,16.5
2026-07-04 00:00:00,22.679792,15.7
2026-07-04 01:00:00,22.560444,15.0
2026-07-04 02:00:00,22.439419,14.5
2026-07-04 03:00:00,22.313917,14.2
2026-07-04 04:00:00,22.192917,14.3
2026-07-04 05:00:00,22.083813,14.8
2026-07-04 06:00:00,21.983126,15.6
2026-07-04 07:00:00,21.879524,16.4
2026-07-04 08:00:00,21.782827,17.1
2026-07-04 09:00:00,21.703947,17.9
2026-07-04 10:00:00,21.670605,18.7
2026-07-04 11:00:00,21.705515,19.6
2026-07-04 12:00:00,21.829536,20.4
2026-07-04 13:00:00,22.082792,21.2
2026-07-04 14:00:00,22.41251,21.8
2026-07-04 15:00:00,22.76151,22.4
2026-07-04 16:00:00,23.08041,22.7
2026-07-04 17:00:00,23.36432,22.7
2026-07-04 18:00:00,23.575348,22.6
2026-07-04 19:00:00,23.707047,22.0
2026-07-04 20:00:00,23.77025,20.9
2026-07-04 21:00:00,23.767107,19.4
2026-07-04 22:00:00,23.713581,18.1
2026-07-04 23:00:00,23.621052,17.1
2026-07-05 00:00:00,23.511711,16.3
2026-07-05 01:00:00,23.393055,15.5
2026-07-05 02:00:00,23.259289,14.7
2026-07-05 03:00:00,23.12036,14.1
2026-07-05 04:00:00,22.975967,13.8
2026-07-05 05:00:00,22.842896,14.1
2026-07-05 06:00:00,22.716064,14.7
2026-07-05 07:00:00,22.595333,15.6
2026-07-05 08:00:00,22.49561,16.7
2026-07-05 09:00:00,22.43633,17.9
2026-07-05 10:00:00,22.451738,19.3
2026-07-05 11:00:00,22.57513,21.0
2026-07-05 12:00:00,22.800503,22.9
2026-07-05 13:00:00,23.096106,24.5
2026-07-05 14:00:00,23.421488,25.6
2026-07-05 15:00:00,23.730236,26.5
2026-07-05 16:00:00,24.013977,27.0
2026-07-05 17:00:00,24.268164,27.4
2026-07-05 18:00:00,24.476398,27.4
2026-07-05 19:00:00,24.625977,26.6
2026-07-05 20:00:00,24.711494,24.6
2026-07-05 21:00:00,24.72681,21.7
2026-07-05 22:00:00,24.679998,19.2
2026-07-05 23:00:00,24.565168,18.0
2026-07-06 00:00:00,24.430117,15.9
2026-07-06 01:00:00,24.290133,14.6
2026-07-06 02:00:00,24.153872,14.0
2026-07-06 03:00:00,24.032671,13.9
2026-07-06 04:00:00,23.922771,14.2
2026-07-06 05:00:00,23.832048,14.9
2026-07-06 06:00:00,23.751286,15.8
2026-07-06 07:00:00,23.676506,17.0
2026-07-06 08:00:00,23.624166,18.7
2026-07-06 09:00:00,23.615046,21.0
2026-07-06 10:00:00,23.666857,23.6
2026-07-06 11:00:00,23.782951,26.2
2026-07-06 12:00:00,23.944613,28.4
2026-07-06 13:00:00,24.139214,30.0
2026-07-06 14:00:00,24.350489,30.9
2026-07-06 15:00:00,24.56313,31.5
2026-07-06 16:00:00,24.758095,31.8
2026-07-06 17:00:00,24.931473,31.8
2026-07-06 18:00:00,25.069862,31.5
2026-07-06 19:00:00,25.1697,30.9
2026-07-06 20:00:00,25.221514,29.8
2026-07-06 21:00:00,25.222012,28.2
2026-07-06 22:00:00,25.17414,26.3
2026-07-06 23:00:00,25.080372,23.4
2026-07-07 00:00:00,24.971746,20.9
2026-07-07 01:00:00,24.864412,19.1
2026-07-07 02:00:00,24.762484,17.7
2026-07-07 03:00:00,24.661198,17.4
2026-07-07 04:00:00,24.558414,17.3
2026-07-07 05:00:00,24.451408,17.3
2026-07-07 06:00:00,24.33939,17.7
2026-07-07 07:00:00,24.213394,18.2
2026-07-07 08:00:00,24.107141,19.2
2026-07-07 09:00:00,24.041279,20.7
2026-07-07 10:00:00,24.042755,22.5
2026-07-07 11:00:00,24.125341,24.2
2026-07-07 12:00:00,24.295322,25.7
2026-07-07 13:00:00,24.53511,26.7
2026-07-07 14:00:00,24.76153,26.7
